hack_license,total_idle_time
00486F5C8B21F0BB4128910CDBFDEA76,3746421
0068EA2EB99A54B615B9085192D40615,3674178
00711D0CC3FB5BC905BB62D9B62296D6,2993460
00D9DBA4DF1927005A8FB91B7DB3E85F,3645788
00EF2913824C8473804C0AF9C6EFC459,4447140
012F5AA15F8535EF648C6726EAA8B72F,3976440
01A7DEBB426ABA1C9CFD9DC4711EF497,2543369
021D2F03CE111133F95C9AD1C9C734AA,2707860
028A0733C61CDBDDE50F750A7F4A5D23,2580
034E9D4C2EE4976AE1D907A855CA46AB,672366
03502DC79E1005C62EAFF73F4CE6CC1C,5569993
036E23C2E7BC89F03B320CC269360F21,1981860
03A8015D3C39394E63BB26C6EB64BA8E,3102411
03BF27AB6D09D3CB4A3FF3E23F1CC5FF,4055800
03D79F8DC2E949EA48D8C8D3D82A417C,3087482
040F2BD4CE4EA71F2DC7E6946EF4E33C,3769286
0413E28D43093EFA4044A8D30B84DAF6,1941029
0454B682CED8574EB2CB5CBEE96962D8,933900
04C91A0C3EA18FF59D0DE7628ED4FA98,4425600
04D1D5B104B16D1A0D34CBB152B97091,3156000
04E5A161AF9F97E2307EB9FE8439FB99,1123992
056ED55FEDC93AD49C9BADE190D10803,5419799
06202D9C9692F4D185623C2433C98816,4381620
0689CB393E1B25980674BEF1F0AB14DA,2648160
068FE3F7BAC4673045079B7D04123A1F,715500
06FFE45DC40892EA25BF42863469AE8D,3248888
070AEC92AC438C68AF91CA552CD9850E,5191680
072EE633E000E07F6872F932E6CF0FE4,10117
07478AFAAECEA03A6A3BB8F4647B065C,3270900
0771CEF003E972D35A823BBF16085AEF,701614
0784F8FB07A95411A6783C053C70A26D,1666440
08D1AE1F001815BFB0D8DAB7A0A09DCE,3140119
093F65E080A295F8076B1C5722A46AA2,101
09E200D000AC552C08F7F5664716F3B4,2456811
0A40325D113D582990C69C91D8CEC849,4349449
0B0AA1DDA48D5EC62AE90A8C586C63A9,5189160
0B830AC046F45C049125454F6071AD61,3322440
0BEBF019D930BC475B132D1AE71B7867,4330809
0C788B203AE9331A43A12F7464799BF8,1444837
0C7FDA9559EBE1AA6C4883215EA2AC7C,2595780
0C9116A3F1A476316DE2F660CBCC9E6D,1261315
0C94CFB5F8191F0144DF34CBF30B4B90,2183550
0CB8CFD4CD990020B510D5BDC03C127A,4790790
0D72B7DF64C23A633B0C9081A1B4B64B,3959437
0D8ABC5459F4AFF2C8C5BB4886B91713,2384238
0E1FEAE55E360FF05FEF58199B3FA521,60
0E56A63C2A5F08E4ECB4CE2E864C00A5,2585520
0EBCF7667E712741DE7F18654BCF45BC,3219078
0FD461760B482C0B229B3E98A2914819,2423791
101888DE3F330CEFA6B67C29407E95B3,3946980
1066C5C44DB0A9129197364B7E45BD58,1334773
10A2B96DE39865918580FDCDAD53E496,1567986
1141D903C76860E6D6EA44D6DF333C88,2945826
11786CDF777FECA497D982AB49D9C02A,4295969
1188D099DCFA744D883C1672990A3EE8,1528740
1192F2BD8D8A88E108B8CC51E2D5B116,1443374
11B682B865CE393945DA558C7ED06787,3216660
11CAC0CD4DB53628F88A77ACF549D785,21658
127EA7A0A6B68D79951022598C302F28,1991512
12970308B4C57B79A63DDC591E2BE810,4158900
13346578B73998FA5A08EAB4516DBBBA,1036904
138D76B5812CFB009D27EBF004A6D105,4510800
147374FDEEFE9EBD8E034F859109058B,3341760
148E07385D9BF0FBE5A5A206297E84CB,5605380
14B2CB4F015AE733D34F987402598DA3,2864340
14D67AB0925AFF7ED75DB5815A95D6B0,4159980
14DEF209C280ED865786A8ED87D83A66,4690812
14F30B757C7C11AB8C2FA4BDAD0174F6,2184143
15630CF33AA0D4A4E6E3FF513FBE64C8,532347
1574B0623F12A7FFCB8D85500C2CD047,4551720
15DBCB26898309003ACACE9EA9021D5C,2211545
1662C4407080ECDABAD7266DEC909053,96240
16A5C6FFDEED96EFE0FBC22CF300CC5A,511938
17065B3B2FE15F5C974A4065B18E030C,4270115
17A5F68D25185925FEA3BACFB97941B0,87430
17B16E9E3D1C6D885B3CC28B1C3365C8,5847369
1879B9682160816891B3F3D65D062CD3,2070720
190F7CD2701FF548F636E8A5D581709B,4497180
1915837EAD9ED134E80FB64426C71A06,2505219
1930758A96619861841B2DC4386C39CF,2138400
