hack_license,total_idle_time
9D1B49F1300FE00670C5052C008D2112,48120
FFEE627F76A3A498DA53E200821FDEE9,45780
4EB96EC9F3A42794DEE233EC8A2616CE,43860
B7661DF207AD66261466F11C1709B0EE,43020
14FAF868BAA670F06AED1B85D243CA4E,41580
6B4F56A1A0C191C4D6087A9570C31DB5,40920
5F7F4EE09860E77324AFFAA5E78CCD07,40560
F13CAF0F4613574F452E589FCF955DF1,40560
5305DE3681B59EC2CD720C3DD8CBFFBC,40140
018ACEDAC372E95A9F5F356E919D26A3,39600
FE3C9D0DB6793DE086C2B91157252598,39360
0E5CF2AF1CB8766E5728B7A6F95FD4DE,39000
28AE81497962D39D802A565F052CADF5,38940
7923BC72414526A2DAE72722D2D28CA0,38940
4103ADCF50D18CFE25AB616F368A5945,38580
3C8F345D592A20D2EB34EE331573ABD5,38520
5264AC4B8696F349080DC3492ADFB69C,38460
29149F96B80A473BA7EFD210662577B0,38220
F676DE30E52FA572078BC7AB2DED6756,38100
5C805D5E970A457B06E29263C14F4C05,37740
9F864AA43C21676F359C90E605406B24,37740
FF6400EE5D3FF87C0B9F4DDF9B0E7CC4,37560
4A913C5964F0F0C1D9049F2F57856C07,37320
F37DCC403AC14C897DEF66219E5476C1,37260
530090D936322FB3A3F1BFBB1C1FA120,37020
948BDABFF16D078809BB143877F9029C,36600
AF17290A2FA50300F38B547E90B640A3,36360
CC4013F0531B313E2EB46AEFB8DD5ECA,36300
CB9AEE4760DB0551500EAA538E8FC108,36180
3B23D23383A197F51D7B27F2C22D366A,36120
C61FB3BD3F84AA43D76808351EAE3715,36120
2FD0431A4BF02A33BFC949BAC6C43410,36060
8CFFA294C16B2DE5B70C7FCDC76A4A4F,36060
A0E4376A7A6CCBC8F9AF2025526679B5,36000
0B35C9C72BEFAE025D534C4453882F8F,35820
9F78F1B6A36BC1C22CECC95DD35591BA,35700
F1539843E9254F1190BFFC43E28EA36F,35640
55BAE7C268AC49DB85BC89BDC34264F9,35520
FD4663250A5871F2F397EDE2C1DBE5FA,35280
61541382E371B6040FEE6E57C615DAD7,35220
D84F7062AC4792636D22CC98A808384A,35100
E09FAAA558B9CE7808F7CCDB61A77F3D,35100
CB87C0FF2ADD5953FC8D348FEBBC6037,34920
F153D0336BF48F93EC3913548164DDBD,34740
4EABAE0C0F2E2EA0D64B86DCD551703D,34680
EEF7A2EC022DA207C643827D661999EC,34680
03F886D7C302270F11E2BF846D0A9D4C,34500
740319FBAE49CDF7D173B798E4030A8F,34320
C61AFCE6633C6A012DBCD5FEDDDD8FEA,34320
2F50C4316818B2214232273961FF4A70,34260
668482008D457EACF21049DEB67C7A9B,34140
7630CA14AE3CFB1FCFBB2C644EB8DE4B,33780
109C644C54B9BC20FF4D3DC1517B4517,33720
2AF7F12032B8E5F4B193EDD98F603B6F,33660
D175F88CCB25A3661A1FB19F10EDE37B,33600
3C3032226956D59A9D5E34D2AD4D6DF4,33540
726CB8C909C1D49FABC2B10965984210,33540
935A48297DB6149E3E83F8B279C57429,33540
