hack_license,total_idle_time
87BFE68E2AD7B96217DEC7CA39363795,1405028
C779D022381EA6EFE908F6359D917FEF,1383882
3AAB94CA53FE93A64811F65690654649,1381017
C8D349DC61BCD170E1122B6503F8EE78,1373880
0B8213569660F969261FB8EBA38920CC,1332000
C4E07B8C06FAB8E540BECE2DDCDFE6BA,1285257
22CA618759C716436EA3257480199A32,1272720
FEAF9F0D8BD84ED9495D8C6F4E566756,1262296
00B7691D86D96AEBD21DD9E138F90840,1229700
2BF7915E6DC6252344DA12975B2B3E06,1204529
CF4FCE3B4C70CD8639C01A9DFA0ABC36,1199580
D425F45DE6E2271BA2EA9AB65BFA50D9,1198382
92E10581A1EF357443217961F5E31A4C,1169125
F153D0336BF48F93EC3913548164DDBD,1153860
8ED700AFCB22F6AC10519B779AA7DF44,1153761
05CE89807401A892A2515403F954ADD1,1141424
E66E58207128619CFF2D2E2C3C7ECC08,1109400
6C2FF19A115CC50926F2A6CFC9494A90,1107480
4EABAE0C0F2E2EA0D64B86DCD551703D,1104540
8563C459B3B0AD353D9989FFB65A90D0,1091309
80029AAD3540C25106CCF1F42F77E691,1062720
704A570E66ABB194159C1F653503D454,1061430
4BCF96CCB6C35AA09430A1557468AC82,1053368
C9EBCA4CDF83E8C23D90FE268A19CAB8,1043828
634B974B4C8D14473AE2B03910F53D09,1040115
051A44EC429CFCB1FE752CA00871CC68,1039620
DD35F09BF4591EA47D56A56D014B12FD,1035059
5F62397CEB75D417D219D461B51E83C6,1032000
F49FD0D84449AE7F72F3BC492CD6C754,1019880
66AC66EC81245F6D4AE9D2820D49212D,1015756
9C36223D4D13F2D4461C61818D65B9AB,1015485
C9674190984BA193FFD8DDCC019804CF,1004760
2C4349D6A00C5CC6AF434CE5605893BE,1003440
3D757E111C78F5CAC83D44A92885D490,997815
2FCF1CFFF9978E437E24164B34ED04C9,994027
9112D33A328C37CF6E8A6B364F0C6109,990420
86953B12553874BBF3F79771A2A2BC36,985612
94B39FB827701E0E55571FE8161BD25C,984540
314466DCAC0F3733D83F950F39FBC0F2,979428
895F9C541258B1B18B8EDD4756A845F0,975780
4A913C5964F0F0C1D9049F2F57856C07,959040
2F0A0422967CD8AE9DA3455025B8F38F,952320
4D462DA2279D8F6A8C812A0C9B0416D4,951840
12DF08C467CE0D44897DFB82171CBC63,951420
417C5D0D0C6A4F418FAFED9389BC5360,950640
6DC841A5F028073A75BD0F570AB57035,948960
CE625FD96D0FAFC812A6957139B354A1,948346
03173DD93C1171DA1788E6E7D733C5A9,944884
5F7F4EE09860E77324AFFAA5E78CCD07,942060
970978A9CF1C59F8DC462176E305EFCD,935100
8C1D318CCC75B91ACBFC789715922449,931004
C4B62F0697BC53B9859CD87B151B6BB1,929088
46DA102E8A85090A2C05C4E7E526CF23,919605
E39C3B9763F5BF520E8BA54137522274,915662
B110D1BE2F5912F454C9AD52619FB9DA,913140
DF81EC40428932BF619088D741D22E2F,906974
AB6F028ECDB62E44BE3ACEDE4E935ED6,903120
8D7A5EE4C75EE655688E7BDB492C2B70,902220
0D802B39C2F6095E58FC3055D2ADF31A,901403
7716123C59E6C0D69E76A14B79F338C1,897780
6D6AF0D6F8700C28A62A7624BA36CAE6,885528
9138D1C926529049817DD4609AA26059,885300
074FA0E196181F84DDACCCDDDF4EDCB5,884734
650F13CC3CC6AD6FCDDD127FA2C6F87A,880260
2ADA859B839BC6FA9CFFD8EFEDBF2E94,879535
E60D35453F53AB194D9CF7276703FE2F,877860
7BCAF31F5930588C45C76A44035CBA5E,876300
847349F8845A667D9AC7CDEDD1C873CB,874858
D5FA3FA0A3ADDEBDB44DB29049F0BD2E,870233
160C474EC5F105E9FB43966E19572864,869611
5329DDE30DF95E9E4F9479555DE88035,868860
23B49AF8CFA28510B28CBCAC21B66D51,864360
9E035DBF346FDE01FE87FAB470276DA6,863940
675664D583C089AF4DD8D0F9B7F98947,863100
D5195813586DB8BC7CB695315339FD1D,863040
6C7DAD5EF42A73A19D63E958D1295970,861600
5649057646D8A96D95C2CD5C846D22D4,861420
740319FBAE49CDF7D173B798E4030A8F,859620
BE3E254D7DC6EF1D57774DB6EC447A5D,855960
962AB34E7D044AF39BA7748387FAD331,854579
616873B0E63ED861C685F2F453A334A6,852448
856107C44289EA2EA53B878016C79BE0,848646
26BA37C5EAC9E27CC3C6644BF91F7FCC,846720
F9EC5DE3B462ADCEE7B9786E18D3B713,845880
1C7977D200AE5962D98976C28A80E2DC,845007
AFC75912D19C0CB0D48A34412F0E03ED,841351
23DF80C977D15141F11DD713C523C311,839457
D960817D064A45957A00EAC0B3981F94,838680
6D8C1272CD07ABD4138069DEAB678C96,838680
717A24B67FD8EB3A1BE1B14AB6773DF2,838519
7EDF384A51BB97304AAB566DF2D5355A,834748
36773E80775F26CD1158EB5450A61C79,831663
9B402AD9C0CF34782F860BFC051B4D20,831420
BF5D5DA7D99A1B631354843FFF402D87,830220
A66A3C13F9C4580A54CB27AE77E64154,829236
9D1B49F1300FE00670C5052C008D2112,825420
4FBA5553088189F7E130CCEC93001B40,823260
850CFE298E810F657A26C584357501D5,822743
F788E5B97DBC4DDAD7200A078C2B7FD2,822360
8E2A9E6F9B918A88E4A75FAD48FACE2F,822120
23F5E8FB4BC7E65E825E8484A596C45C,820920
6DFAEA426C5CB20249216ED8CC5F5C88,808920
F21C77713FE069DD8981C170ABE5E38B,808577
376BD7BD9CCFD415A7108620C682E87C,803160
508B0C200B7911E94E3D58151FADD644,803040
F1B39F51789365070C131527BE3F3D45,802920
63D22DF871EBD24FD7E3EFEB5CF43C0A,798180
D195D248AB680D195490DAD7F3F4F9E3,795840
E06CEAA63CAB65DED13F2B20B1FDD688,795780
5305DE3681B59EC2CD720C3DD8CBFFBC,795720
9B16A182C232B563560F343E81A2EEF9,795180
6F7932F2B112DAABF1F2A385FE2AB819,792177
53A45F238DCDF2C413ACF13E1EE46A04,790320
447706609D4BC15F1D35B66C314EE979,789420
D6C469E0E2352E6F6A79E909D6BEAC8B,788580
F1FFE893A5E1A06AB540BF43EE1B9A23,788527
20FA9BBAD2CEB47640C476C634373493,788160
23400331F03AB441F7C93D89E7659F9A,786000
D2AB61634A494EF2868AB0CA21B7259C,784740
327401DD2B20785110594AC85E3DAE1E,782940
5114DF85775775ED4F53235D8478E80B,782760
2D21EBFD1FD0CE992F97E071BAA0AF3A,782400
1827F091B137E4E4F56DD0188EE1C94D,779700
A87D1663DA8E21C5D3CE375903FEC713,775089
E27F1C84604300FC80438283B8BCABAA,772818
090BAE1FF6AA73DFF4476D67C88E6513,770220
A9B770584F117D21300312BB1B74D7CB,770220
F80CFB4D132B9EF816E1B0ECCEE236B0,769500
AB1C267B12D4DC2E76DEEE412542DCC0,768839
EC4F341538E10BE6E649033C8ED46D5E,767940
7D35FAFCC77E7BE262098A6E960EDBA4,766510
075082F960A062AF7D3692330FEEF52F,766008
00FCDAAE16EBD65BF9A8480A39BA2AAE,765331
1E94B13BB698BC3C98178429C45FDEED,765125
96BAA4C14A55258C2E265066B9951E3B,763860
CDE0E71B18BC61B71E8AAC1D04D0E142,763825
03D23D668A6E75A863E666D917A84987,762240
3F81B2A4ABC1EE9E2DE01F33981C86F1,762110
369D7A0CFA15D473670CB604BE8C5659,762004
A9D2251D4A8422186B293BDE132B2E5A,760860
510B7531F3EB16007A1A885E2BDC65BB,759096
97F7B431B057B98EAED0F323C4347B62,758340
D5CA7D478A14BA3BBFC20153C5C88B1A,756306
1330DA1FBD22F78997A16AF362C466D1,755880
F50F314036309F93696AB2036B152B18,754752
D60D1D103D54A9C71FB034C16E33D191,754080
1E7BE69147C4DA59271C9B8A7E58A64A,753840
6E9CDB04414EC0791E4EC3DFFDE27B26,753120
7913172189931A1A1632562B10AB53C4,753014
47A91F7A56173B199B45CBC5BE1F09ED,752771
EB0BF47D51268910F10C88DC001A759B,751131
99060EF5F782C6F35A326C39EE8F3818,749124
96F7564919171F55F551F0F9B96B5199,748735
006114F940CB87B3ABDCE9BF6DF6FCC4,748680
6E57493D8498EA9D1689BD52F0E54562,747195
47DE0CC77A58E35F73A656A5088F976D,744748
BAC38C9133317547DF328ABDEEF8B7D5,744389
